,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,year
66,FF,2022-10-02,92.7,2.54,6.2,"Ray, Robbie",669397,592662,home_run,hit_into_play,,,,,1.0,Nick Allen homers (4) on a fly ball to left center field.   Jonah Bride scores.,R,R,L,SEA,OAK,X,,fly_ball,0,2,2022,0.52,1.57,-0.69,2.59,,,681146.0,2,6,Top,62.81,59.2,,,620443,,,-9.449670546594048,-134.56611553616605,-6.9046218485520665,8.292868104081311,28.28309498434201,-11.702541488237824,3.0,1.41,379.0,96.2,31.0,93.2,2300.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.85,0.209,0.391,2.0,1.0,0.0,3.0,5.0,45,3,4-Seam Fastball,0,4,4,0,6,0,6,0,Standard,Standard,148.0,-0.056,1.963,2022
67,SI,2022-10-02,93.9,2.79,6.04,"Ray, Robbie",669397,592662,,foul,,,,,5.0,Nick Allen homers (4) on a fly ball to left center field.   Jonah Bride scores.,R,R,L,SEA,OAK,S,,,0,1,2022,1.14,1.23,0.1,2.36,,,681146.0,2,6,Top,,,,,620443,,,-9.527154086310558,-136.28711374858108,-6.561217367057277,16.24164232620915,29.554455818195464,-15.506963995165355,3.0,1.41,242.0,73.5,47.0,94.3,2238.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.87,,,,,,,,45,2,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,146.0,0.0,-0.048,2022
68,SI,2022-10-02,92.5,2.93,6.14,"Ray, Robbie",669397,592662,,foul,,,,,14.0,Nick Allen homers (4) on a fly ball to left center field.   Jonah Bride scores.,R,R,L,SEA,OAK,S,,,0,0,2022,1.21,1.11,0.88,2.05,,,681146.0,2,6,Top,,,,,620443,,,-7.879161904810802,-134.3364804484885,-7.051635784127672,16.314482906112993,27.71007523538804,-17.3562187329039,3.0,1.41,,,,92.8,2216.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.01,,,,,,,,45,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,144.0,0.0,-0.035,2022
69,FF,2022-10-02,92.0,2.68,6.16,"Ray, Robbie",676391,592662,field_out,hit_into_play,,,,,11.0,Ernie Clement pops out to first baseman Ty France in foul territory.,R,R,L,SEA,OAK,X,3.0,popup,0,0,2022,0.4,1.55,-1.12,2.63,,,681146.0,1,6,Top,142.08,189.72,,,620443,,,-10.552835746346616,-133.51968755597372,-6.505979969076653,6.984111571813224,27.907528757646624,-12.286636431524094,3.37,1.57,52.0,64.5,79.0,92.5,2244.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.86,0.006,0.005,0.0,1.0,0.0,0.0,3.0,44,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,152.0,0.008,-0.3,2022
70,SI,2022-10-02,91.8,2.88,6.07,"Ray, Robbie",665506,592662,field_out,hit_into_play,,,,,6.0,Cristian Pache lines out to right fielder Mitch Haniger.,R,R,L,SEA,OAK,X,9.0,line_drive,0,0,2022,1.19,1.08,0.56,2.49,,,681146.0,0,6,Top,164.24,93.35,,,620443,,,-8.459589141762258,-133.43276442601316,-5.547203702268007,16.03564400343205,27.8142724229574,-18.280720909690448,3.38,1.59,280.0,92.2,18.0,92.0,2149.0,6.4,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.12,0.574,0.587,0.0,1.0,0.0,0.0,4.0,43,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,144.0,0.009,-0.353,2022
71,FF,2022-10-02,92.6,2.57,6.3,"Ray, Robbie",681146,592662,single,hit_into_play,,,,,5.0,Jonah Bride singles on a line drive to center fielder Jarred Kelenic.,R,R,L,SEA,OAK,X,8.0,line_drive,0,1,2022,0.9,1.52,0.06,2.48,,,,0,6,Top,117.22,79.08,,,620443,,,-8.359981813520815,-134.42994621734522,-7.268785401869462,12.710132492374283,28.93662728711753,-12.284012615010452,3.19,1.51,261.0,88.7,19.0,92.6,2393.0,6.4,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.07,0.614,0.618,0.9,1.0,1.0,0.0,4.0,42,2,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,146.0,-0.009,0.429,2022
72,SL,2022-10-02,86.2,2.64,6.2,"Ray, Robbie",681146,592662,,called_strike,,,,,1.0,Jonah Bride singles on a line drive to center fielder Jarred Kelenic.,R,R,L,SEA,OAK,S,,,0,0,2022,0.03,0.81,-0.65,2.73,,,,0,6,Top,,,,,620443,,,-7.857866576715616,-125.3651766390239,-3.73212663181305,1.6977971010183115,22.116554232061933,-23.004466949951105,3.11,1.55,,,,86.4,2215.0,6.2,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.31,,,,,,,,42,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,151.0,0.0,-0.034,2022
73,SI,2022-10-02,92.9,2.73,5.96,"Ray, Robbie",681146,592662,caught_stealing_2b,called_strike,,,,,8.0,"Seth Brown caught stealing 2nd base, catcher Luis Torrens to second baseman Adam Frazier.",R,R,L,SEA,OAK,S,2.0,,1,0,2022,1.4,0.96,0.11,2.0,,,664913.0,2,5,Top,,,,,620443,,,-9.818125800574368,-134.84783788605557,-6.482569677848043,19.251794860639457,29.34338342751846,-19.129773428411745,3.26,1.66,,,,93.3,2185.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.84,,,0.0,0.0,0.0,0.0,,38,2,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,141.0,0.007,-0.251,2022
74,FF,2022-10-02,93.4,2.81,6.12,"Ray, Robbie",681146,592662,,ball,,,,,11.0,"Seth Brown caught stealing 2nd base, catcher Luis Torrens to second baseman Adam Frazier.",R,R,L,SEA,OAK,B,,,0,0,2022,0.41,1.57,-1.13,2.84,,,664913.0,2,5,Top,,,,,620443,,,-11.100421739272551,-135.43468466622758,-6.133621692068486,7.477972162256687,29.27130500157973,-11.65516598676344,3.07,1.55,,,,93.7,2214.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.85,,,,,,,,38,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,143.0,0.0,0.032,2022
75,FF,2022-10-02,92.1,2.71,6.16,"Ray, Robbie",669127,592662,field_out,hit_into_play,,,,,4.0,Shea Langeliers pops out to catcher Luis Torrens in foul territory.,R,R,L,SEA,OAK,X,2.0,popup,1,1,2022,0.15,1.62,-0.58,2.35,,,664913.0,1,5,Top,131.62,204.62,,,620443,,,-8.705850233239373,-133.6576037104134,-7.363324033397748,3.67783400588544,29.50738551163017,-11.298756718911823,3.26,1.52,14.0,63.1,85.0,92.3,2258.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.87,0.006,0.006,0.0,1.0,0.0,0.0,3.0,37,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,148.0,0.01,-0.284,2022
